"ICD10_code";"ICD10_code_dot";"diagnosis";"code_description"
"T46";"T46";"Agents primarily affecting the cardiovascular system";"T46 Agents primarily affecting the cardiovascular system"
"T47";"T47";"Agents primarily affecting the gastrointestinal system";"T47 Agents primarily affecting the gastrointestinal system"
"T48";"T48";"Agents prim act on smooth and skeletal musc and the resp sys";"T48 Agents prim act on smooth and skeletal musc and the resp sys"
"T49";"T49";"Topical skin/eye/ENT/dental drugs";"T49 Topical skin/eye/ENT/dental drugs"
"T50";"T50";"Diuretics and oth and unsp drug/meds/biol subst";"T50 Diuretics and oth and unsp drug/meds/biol subst"
"T51";"T51";"Toxic effect of alcohol";"T51 Toxic effect of alcohol"
"T52";"T52";"Toxic effect of organic solvents";"T52 Toxic effect of organic solvents"
"T53";"T53";"Toxic effect of halogen derivatives of aromat hydrocrb";"T53 Toxic effect of halogen derivatives of aromat hydrocrb"
"T54";"T54";"Toxic effect of corrosive substances";"T54 Toxic effect of corrosive substances"
"T55";"T55";"Toxic effect of soaps and detergents";"T55 Toxic effect of soaps and detergents"
"T56";"T56";"Toxic effect of metals";"T56 Toxic effect of metals"
"T57";"T57";"Toxic effect of other inorganic substances";"T57 Toxic effect of other inorganic substances"
"T58";"T58";"Toxic effect of carbon monoxide";"T58 Toxic effect of carbon monoxide"
"T59";"T59";"Toxic effect of other gases, fumes and vapors";"T59 Toxic effect of other gases, fumes and vapors"
"T60";"T60";"Toxic effect of pesticides";"T60 Toxic effect of pesticides"
"T61";"T61";"Toxic effect of noxious substances eaten as seafood";"T61 Toxic effect of noxious substances eaten as seafood"
"T62";"T62";"Toxic effect of other noxious substances eaten as food";"T62 Toxic effect of other noxious substances eaten as food"
"T63";"T63";"Toxic effect of contact with venomous animals and plants";"T63 Toxic effect of contact with venomous animals and plants"
"T64";"T64";"Toxic effect of aflatoxin and oth mycotoxin food contamnt";"T64 Toxic effect of aflatoxin and oth mycotoxin food contamnt"
"T65";"T65";"Toxic effect of other and unspecified substances";"T65 Toxic effect of other and unspecified substances"
"T66";"T66";"Radiation sickness, unspecified";"T66 Radiation sickness, unspecified"
"T67";"T67";"Effects of heat and light";"T67 Effects of heat and light"
"T68";"T68";"Hypothermia";"T68 Hypothermia"
"T69";"T69";"Other effects of reduced temperature";"T69 Other effects of reduced temperature"
"T70";"T70";"Effects of air pressure and water pressure";"T70 Effects of air pressure and water pressure"
"T71";"T71";"Asphyxiation";"T71 Asphyxiation"
"T73";"T73";"Effects of other deprivation";"T73 Effects of other deprivation"
"T74";"T74";"Adult and child abuse, neglect and oth maltreat, confirmed";"T74 Adult and child abuse, neglect and oth maltreat, confirmed"
"T75";"T75";"Other and unspecified effects of other external causes";"T75 Other and unspecified effects of other external causes"
"T76";"T76";"Adult and child abuse, neglect and oth maltreat, suspected";"T76 Adult and child abuse, neglect and oth maltreat, suspected"
"T78";"T78";"Adverse effects, not elsewhere classified";"T78 Adverse effects, not elsewhere classified"
"T79";"T79";"Certain early complications of trauma, NEC";"T79 Certain early complications of trauma, NEC"
"T80";"T80";"Comp following infusion, transfusion and theraputc injection";"T80 Comp following infusion, transfusion and theraputc injection"
"T81";"T81";"Complications of procedures, not elsewhere classified";"T81 Complications of procedures, not elsewhere classified"
"T82";"T82";"Complications of cardiac and vascular prosth dev/grft";"T82 Complications of cardiac and vascular prosth dev/grft"
"T83";"T83";"Complications of genitourinary prosth dev/grft";"T83 Complications of genitourinary prosth dev/grft"
"T84";"T84";"Complications of internal orthopedic prosth dev/grft";"T84 Complications of internal orthopedic prosth dev/grft"
"T85";"T85";"Complications of internal prosth dev/grft";"T85 Complications of internal prosth dev/grft"
"T86";"T86";"Complications of transplanted organs and tissue";"T86 Complications of transplanted organs and tissue"
"T87";"T87";"Complications peculiar to reattachment and amputation";"T87 Complications peculiar to reattachment and amputation"
"T88";"T88";"Oth complications of surgical and medical care, NEC";"T88 Oth complications of surgical and medical care, NEC"
"V00";"V00";"Pedestrian conveyance accident";"V00 Pedestrian conveyance accident"
"V01";"V01";"Pedestrian injured in collision with pedal cycle";"V01 Pedestrian injured in collision with pedal cycle"
"V02";"V02";"Pedestrian injured in collision w 2/3-whl mv";"V02 Pedestrian injured in collision w 2/3-whl mv"
"V03";"V03";"Pedestrian injured in collision w car, pick-up truck or van";"V03 Pedestrian injured in collision w car, pick-up truck or van"
"V04";"V04";"Pedestrian injured in collision w hv veh";"V04 Pedestrian injured in collision w hv veh"
"V05";"V05";"Pedestrian injured in collision w rail trn/veh";"V05 Pedestrian injured in collision w rail trn/veh"
"V06";"V06";"Pedestrian injured in collision with other nonmotor vehicle";"V06 Pedestrian injured in collision with other nonmotor vehicle"
"V09";"V09";"Pedestrian injured in other and unsp transport accidents";"V09 Pedestrian injured in other and unsp transport accidents"
"V10";"V10";"Pedal cycle rider injured in collision w ped/anml";"V10 Pedal cycle rider injured in collision w ped/anml"
"V11";"V11";"Pedal cycle rider injured in collision with oth pedal cycle";"V11 Pedal cycle rider injured in collision with oth pedal cycle"
"V12";"V12";"Pedal cycle rider injured in collision w 2/3-whl mv";"V12 Pedal cycle rider injured in collision w 2/3-whl mv"
"V13";"V13";"Pedal cycle rider injured pick-up truck, pk-up/van";"V13 Pedal cycle rider injured pick-up truck, pk-up/van"
"V14";"V14";"Pedal cycle rider injured in collision w hv veh";"V14 Pedal cycle rider injured in collision w hv veh"
"V15";"V15";"Pedal cycle rider injured in collision w rail trn/veh";"V15 Pedal cycle rider injured in collision w rail trn/veh"
"V16";"V16";"Pedal cycle rider injured in collision w nonmtr vehicle";"V16 Pedal cycle rider injured in collision w nonmtr vehicle"
"V17";"V17";"Pedal cycle rider injured in collision w statnry object";"V17 Pedal cycle rider injured in collision w statnry object"
"V18";"V18";"Pedal cycle rider injured in noncollision transport accident";"V18 Pedal cycle rider injured in noncollision transport accident"
"V19";"V19";"Pedl cyc rider injured in oth and unsp transport accidents";"V19 Pedl cyc rider injured in oth and unsp transport accidents"
"V20";"V20";"Motorcycle rider injured in collision w pedestrian or animal";"V20 Motorcycle rider injured in collision w pedestrian or animal"
"V21";"V21";"Motorcycle rider injured in collision with pedal cycle";"V21 Motorcycle rider injured in collision with pedal cycle"
"V22";"V22";"Motorcycle rider injured in collision w 2/3-whl mv";"V22 Motorcycle rider injured in collision w 2/3-whl mv"
"V23";"V23";"Motorcycle rider injured pick-up truck, pick-up truck or van";"V23 Motorcycle rider injured pick-up truck, pick-up truck or van"
"V24";"V24";"Motorcycle rider injured in collision w hv veh";"V24 Motorcycle rider injured in collision w hv veh"
"V25";"V25";"Motorcycle rider injured in collision w rail trn/veh";"V25 Motorcycle rider injured in collision w rail trn/veh"
"V26";"V26";"Motorcycle rider injured in collision w oth nonmotor vehicle";"V26 Motorcycle rider injured in collision w oth nonmotor vehicle"
"V27";"V27";"Motorcycle rider injured in collision w statnry object";"V27 Motorcycle rider injured in collision w statnry object"
"V28";"V28";"Motorcycle rider injured in noncollision transport accident";"V28 Motorcycle rider injured in noncollision transport accident"
"V29";"V29";"Motorcycle rider injured in oth and unsp transport accidents";"V29 Motorcycle rider injured in oth and unsp transport accidents"
"V30";"V30";"Occupant of 3-whl mv injured in collision w ped/anml";"V30 Occupant of 3-whl mv injured in collision w ped/anml"
"V31";"V31";"Occupant of 3-whl mv injured in collision w pedal cycle";"V31 Occupant of 3-whl mv injured in collision w pedal cycle"
"V32";"V32";"Occupant of 3-whl mv injured in collision w 2/3-whl mv";"V32 Occupant of 3-whl mv injured in collision w 2/3-whl mv"
"V33";"V33";"Occupant of 3-whl mv injured pick-up truck, pk-up/van";"V33 Occupant of 3-whl mv injured pick-up truck, pk-up/van"
"V34";"V34";"Occupant of 3-whl mv injured in collision w hv veh";"V34 Occupant of 3-whl mv injured in collision w hv veh"
"V35";"V35";"Occupant of 3-whl mv injured in collision w rail trn/veh";"V35 Occupant of 3-whl mv injured in collision w rail trn/veh"
"V36";"V36";"Occupant of 3-whl mv injured in collision w nonmtr vehicle";"V36 Occupant of 3-whl mv injured in collision w nonmtr vehicle"
"V37";"V37";"Occupant of 3-whl mv injured in collision w statnry object";"V37 Occupant of 3-whl mv injured in collision w statnry object"
"V38";"V38";"Occupant of 3-whl mv injured in nonclsn transport accident";"V38 Occupant of 3-whl mv injured in nonclsn transport accident"
"V39";"V39";"Occupant of 3-whl mv injured in oth and unsp transport acc";"V39 Occupant of 3-whl mv injured in oth and unsp transport acc"
"V40";"V40";"Car occupant injured in collision with pedestrian or animal";"V40 Car occupant injured in collision with pedestrian or animal"
"V41";"V41";"Car occupant injured in collision with pedal cycle";"V41 Car occupant injured in collision with pedal cycle"
"V42";"V42";"Car occupant injured in collision w 2/3-whl mv";"V42 Car occupant injured in collision w 2/3-whl mv"
"V43";"V43";"Car occupant injured pick-up truck, pick-up truck or van";"V43 Car occupant injured pick-up truck, pick-up truck or van"
"V44";"V44";"Car occupant injured in collision w hv veh";"V44 Car occupant injured in collision w hv veh"
"V45";"V45";"Car occupant injured in collision w rail trn/veh";"V45 Car occupant injured in collision w rail trn/veh"
"V46";"V46";"Car occupant injured in collision with oth nonmotor vehicle";"V46 Car occupant injured in collision with oth nonmotor vehicle"
"V47";"V47";"Car occupant injured in collision w statnry object";"V47 Car occupant injured in collision w statnry object"
"V48";"V48";"Car occupant injured in noncollision transport accident";"V48 Car occupant injured in noncollision transport accident"
"V49";"V49";"Car occupant injured in other and unsp transport accidents";"V49 Car occupant injured in other and unsp transport accidents"
"V50";"V50";"Occupant of pk-up/van injured in collision w ped/anml";"V50 Occupant of pk-up/van injured in collision w ped/anml"
"V51";"V51";"Occupant of pk-up/van injured in collision w pedal cycle";"V51 Occupant of pk-up/van injured in collision w pedal cycle"
"V52";"V52";"Occupant of pk-up/van injured in collision w 2/3-whl mv";"V52 Occupant of pk-up/van injured in collision w 2/3-whl mv"
"V53";"V53";"Occupant of pk-up/van injured pick-up truck, pk-up/van";"V53 Occupant of pk-up/van injured pick-up truck, pk-up/van"
"V54";"V54";"Occupant of pk-up/van injured in collision w hv veh";"V54 Occupant of pk-up/van injured in collision w hv veh"
"V55";"V55";"Occupant of pk-up/van injured in collision w rail trn/veh";"V55 Occupant of pk-up/van injured in collision w rail trn/veh"
"V56";"V56";"Occupant of pk-up/van injured in collision w nonmtr vehicle";"V56 Occupant of pk-up/van injured in collision w nonmtr vehicle"
"V57";"V57";"Occupant of pk-up/van injured in collision w statnry object";"V57 Occupant of pk-up/van injured in collision w statnry object"
"V58";"V58";"Occupant of pk-up/van injured in nonclsn transport accident";"V58 Occupant of pk-up/van injured in nonclsn transport accident"
"V59";"V59";"Occupant of pk-up/van injured in oth and unsp transport acc";"V59 Occupant of pk-up/van injured in oth and unsp transport acc"
"V60";"V60";"Occupant of hv veh injured in collision w ped/anml";"V60 Occupant of hv veh injured in collision w ped/anml"
"V61";"V61";"Occupant of hv veh injured in collision w pedal cycle";"V61 Occupant of hv veh injured in collision w pedal cycle"
"V62";"V62";"Occupant of hv veh injured in collision w 2/3-whl mv";"V62 Occupant of hv veh injured in collision w 2/3-whl mv"
"V63";"V63";"Occupant of hv veh injured pick-up truck, pk-up/van";"V63 Occupant of hv veh injured pick-up truck, pk-up/van"
"V64";"V64";"Occupant of hv veh injured in collision w hv veh";"V64 Occupant of hv veh injured in collision w hv veh"
"V65";"V65";"Occupant of hv veh injured in collision w rail trn/veh";"V65 Occupant of hv veh injured in collision w rail trn/veh"
"V66";"V66";"Occupant of hv veh injured in collision w nonmtr vehicle";"V66 Occupant of hv veh injured in collision w nonmtr vehicle"
"V67";"V67";"Occupant of hv veh injured in collision w statnry object";"V67 Occupant of hv veh injured in collision w statnry object"
"V68";"V68";"Occupant of hv veh injured in nonclsn transport accident";"V68 Occupant of hv veh injured in nonclsn transport accident"
"V69";"V69";"Occupant of hv veh injured in oth and unsp transport acc";"V69 Occupant of hv veh injured in oth and unsp transport acc"
"V70";"V70";"Bus occupant injured in collision with pedestrian or animal";"V70 Bus occupant injured in collision with pedestrian or animal"
"V71";"V71";"Bus occupant injured in collision with pedal cycle";"V71 Bus occupant injured in collision with pedal cycle"
"V72";"V72";"Bus occupant injured in collision w 2/3-whl mv";"V72 Bus occupant injured in collision w 2/3-whl mv"
"V73";"V73";"Bus occupant injured pick-up truck, pick-up truck or van";"V73 Bus occupant injured pick-up truck, pick-up truck or van"
"V74";"V74";"Bus occupant injured in collision w hv veh";"V74 Bus occupant injured in collision w hv veh"
"V75";"V75";"Bus occupant injured in collision w rail trn/veh";"V75 Bus occupant injured in collision w rail trn/veh"
"V76";"V76";"Bus occupant injured in collision with oth nonmotor vehicle";"V76 Bus occupant injured in collision with oth nonmotor vehicle"
"V77";"V77";"Bus occupant injured in collision w statnry object";"V77 Bus occupant injured in collision w statnry object"
"V78";"V78";"Bus occupant injured in noncollision transport accident";"V78 Bus occupant injured in noncollision transport accident"
"V79";"V79";"Bus occupant injured in other and unsp transport accidents";"V79 Bus occupant injured in other and unsp transport accidents"
"V80";"V80";"Animl-ridr or occ of anml-drn vehicle injured in trnsp acc";"V80 Animl-ridr or occ of anml-drn vehicle injured in trnsp acc"
"V81";"V81";"Occupant of rail trn/veh injured in transport accident";"V81 Occupant of rail trn/veh injured in transport accident"
"V82";"V82";"Occupant of powered streetcar injured in transport accident";"V82 Occupant of powered streetcar injured in transport accident"
"V83";"V83";"Occupant specl indust veh injured in transport accident";"V83 Occupant specl indust veh injured in transport accident"
"V84";"V84";"Occ of specl veh mainly used in agriculture inj in trnsp acc";"V84 Occ of specl veh mainly used in agriculture inj in trnsp acc"
"V85";"V85";"Occupant of special construct vehicle injured in trnsp acc";"V85 Occupant of special construct vehicle injured in trnsp acc"
"V86";"V86";"Occ off-road veh injured transp acc";"V86 Occ off-road veh injured transp acc"
"V87";"V87";"Traf of spcf type but victim's mode of transport unknown";"V87 Traf of spcf type but victim's mode of transport unknown"
"V88";"V88";"Nontraf of spcf type but victim's mode of transport unknown";"V88 Nontraf of spcf type but victim's mode of transport unknown"
"V89";"V89";"Motor- or nonmotor-vehicle accident, type of vehicle unsp";"V89 Motor- or nonmotor-vehicle accident, type of vehicle unsp"
"V90";"V90";"Drowning and submersion due to accident to watercraft";"V90 Drowning and submersion due to accident to watercraft"
"V91";"V91";"Other injury due to accident to watercraft";"V91 Other injury due to accident to watercraft"
"V92";"V92";"Drown due to acc on board wtrcrft, w/o accident to wtrcrft";"V92 Drown due to acc on board wtrcrft, w/o accident to wtrcrft"
"V93";"V93";"Oth injury due to acc on board wtrcrft, w/o acc to wtrcrft";"V93 Oth injury due to acc on board wtrcrft, w/o acc to wtrcrft"
"V94";"V94";"Other and unspecified water transport accidents";"V94 Other and unspecified water transport accidents"
"V95";"V95";"Accident to powered aircraft causing injury to occupant";"V95 Accident to powered aircraft causing injury to occupant"
"V96";"V96";"Accident to nonpowered aircraft causing injury to occupant";"V96 Accident to nonpowered aircraft causing injury to occupant"
"V97";"V97";"Other specified air transport accidents";"V97 Other specified air transport accidents"
"V98";"V98";"Other specified transport accidents";"V98 Other specified transport accidents"
"V99";"V99";"Unspecified transport accident";"V99 Unspecified transport accident"
"W00";"W00";"Fall due to ice and snow";"W00 Fall due to ice and snow"
"W01";"W01";"Fall on same level from slipping, tripping and stumbling";"W01 Fall on same level from slipping, tripping and stumbling"
"W03";"W03";"Oth fall on same level due to collision with another person";"W03 Oth fall on same level due to collision with another person"
"W04";"W04";"Fall while being carried or supported by other persons";"W04 Fall while being carried or supported by other persons"
"W05";"W05";"Fall from wheelchr/nonmotor scoot";"W05 Fall from wheelchr/nonmotor scoot"
"W06";"W06";"Fall from bed";"W06 Fall from bed"
"W07";"W07";"Fall from chair";"W07 Fall from chair"
"W08";"W08";"Fall from other furniture";"W08 Fall from other furniture"
"W09";"W09";"Fall on and from playground equipment";"W09 Fall on and from playground equipment"
"W10";"W10";"Fall on and from stairs and steps";"W10 Fall on and from stairs and steps"
"W11";"W11";"Fall on and from ladder";"W11 Fall on and from ladder"
"W12";"W12";"Fall on and from scaffolding";"W12 Fall on and from scaffolding"
"W13";"W13";"Fall from, out of or through building or structure";"W13 Fall from, out of or through building or structure"
"W14";"W14";"Fall from tree";"W14 Fall from tree"
"W15";"W15";"Fall from cliff";"W15 Fall from cliff"
"W16";"W16";"Fall, jump or diving into water";"W16 Fall, jump or diving into water"
"W17";"W17";"Other fall from one level to another";"W17 Other fall from one level to another"
"W18";"W18";"Other slipping, tripping and stumbling and falls";"W18 Other slipping, tripping and stumbling and falls"
"W19";"W19";"Unspecified fall";"W19 Unspecified fall"
"W20";"W20";"Struck by thrown, projected or falling object";"W20 Struck by thrown, projected or falling object"
"W21";"W21";"Striking against or struck by sports equipment";"W21 Striking against or struck by sports equipment"
"W22";"W22";"Striking against or struck by other objects";"W22 Striking against or struck by other objects"
"W23";"W23";"Caught, crushed, jammed or pinched in or between objects";"W23 Caught, crushed, jammed or pinched in or between objects"
"W24";"W24";"Contact w lifting and transmission devices, NEC";"W24 Contact w lifting and transmission devices, NEC"
"W25";"W25";"Contact with sharp glass";"W25 Contact with sharp glass"
"W26";"W26";"Contact with other sharp objects";"W26 Contact with other sharp objects"
"W27";"W27";"Contact with nonpowered hand tool";"W27 Contact with nonpowered hand tool"
"W28";"W28";"Contact with powered lawn mower";"W28 Contact with powered lawn mower"
"W29";"W29";"Contact with oth powered hand tools and household machinery";"W29 Contact with oth powered hand tools and household machinery"
"W30";"W30";"Contact with agricultural machinery";"W30 Contact with agricultural machinery"
"W31";"W31";"Contact with other and unspecified machinery";"W31 Contact with other and unspecified machinery"
"W32";"W32";"Accidental handgun discharge and malfunction";"W32 Accidental handgun discharge and malfunction"
"W33";"W33";"Acc rifle, shotgun and larger firearm discharge and malfunct";"W33 Acc rifle, shotgun and larger firearm discharge and malfunct"
"W34";"W34";"Acc disch and malfunct from oth and unsp firearms and guns";"W34 Acc disch and malfunct from oth and unsp firearms and guns"
"W35";"W35";"Explosion and rupture of boiler";"W35 Explosion and rupture of boiler"
"W36";"W36";"Explosion and rupture of gas cylinder";"W36 Explosion and rupture of gas cylinder"
"W37";"W37";"Explosion and rupture of pressurized tire, pipe or hose";"W37 Explosion and rupture of pressurized tire, pipe or hose"
"W38";"W38";"Explosion and rupture of other specified pressurized devices";"W38 Explosion and rupture of other specified pressurized devices"
"W39";"W39";"Discharge of firework";"W39 Discharge of firework"
"W40";"W40";"Explosion of other materials";"W40 Explosion of other materials"
"W42";"W42";"Exposure to noise";"W42 Exposure to noise"
"W45";"W45";"Foreign body or object entering through skin";"W45 Foreign body or object entering through skin"
"W46";"W46";"Contact with hypodermic needle";"W46 Contact with hypodermic needle"
"W49";"W49";"Exposure to other inanimate mechanical forces";"W49 Exposure to other inanimate mechanical forces"
"W50";"W50";"Acc hit, strk, kick, twist, bite or scratch by another prsn";"W50 Acc hit, strk, kick, twist, bite or scratch by another prsn"
"W51";"W51";"Accidental striking against or bumped into by another person";"W51 Accidental striking against or bumped into by another person"
"W52";"W52";"Crushed, pushed or stepped on by crowd or human stampede";"W52 Crushed, pushed or stepped on by crowd or human stampede"
"W53";"W53";"Contact with rodent";"W53 Contact with rodent"
"W54";"W54";"Contact with dog";"W54 Contact with dog"
"W55";"W55";"Contact with other mammals";"W55 Contact with other mammals"
"W56";"W56";"Contact with nonvenomous marine animal";"W56 Contact with nonvenomous marine animal"
"W57";"W57";"Bit/stung by nonvenom insect and oth nonvenomous arthropods";"W57 Bit/stung by nonvenom insect and oth nonvenomous arthropods"
"W58";"W58";"Contact with crocodile or alligator";"W58 Contact with crocodile or alligator"
"W59";"W59";"Contact with other nonvenomous reptiles";"W59 Contact with other nonvenomous reptiles"
"W60";"W60";"Contact w nonvenom plant thorns and spines and sharp leaves";"W60 Contact w nonvenom plant thorns and spines and sharp leaves"
"W61";"W61";"Contact with birds (domestic) (wild)";"W61 Contact with birds (domestic) (wild)"
"W62";"W62";"Contact with nonvenomous amphibians";"W62 Contact with nonvenomous amphibians"
"W64";"W64";"Exposure to other animate mechanical forces";"W64 Exposure to other animate mechanical forces"
"W65";"W65";"Accidental drowning and submersion while in bath-tub";"W65 Accidental drowning and submersion while in bath-tub"
"W67";"W67";"Accidental drowning and submersion while in swimming-pool";"W67 Accidental drowning and submersion while in swimming-pool"
"W69";"W69";"Accidental drowning and submersion while in natural water";"W69 Accidental drowning and submersion while in natural water"
"W73";"W73";"Oth cause of accidental non-transport drown";"W73 Oth cause of accidental non-transport drown"
"W74";"W74";"Unspecified cause of accidental drowning and submersion";"W74 Unspecified cause of accidental drowning and submersion"
"W85";"W85";"Exposure to electric transmission lines";"W85 Exposure to electric transmission lines"
"W86";"W86";"Exposure to other specified electric current";"W86 Exposure to other specified electric current"
"W88";"W88";"Exposure to ionizing radiation";"W88 Exposure to ionizing radiation"
"W89";"W89";"Exposure to man-made visible and ultraviolet light";"W89 Exposure to man-made visible and ultraviolet light"
"W90";"W90";"Exposure to other nonionizing radiation";"W90 Exposure to other nonionizing radiation"
"W92";"W92";"Exposure to excessive heat of man-made origin";"W92 Exposure to excessive heat of man-made origin"
"W93";"W93";"Exposure to excessive cold of man-made origin";"W93 Exposure to excessive cold of man-made origin"
"W94";"W94";"Expsr to high and low air pressr and changes in air pressure";"W94 Expsr to high and low air pressr and changes in air pressure"
"W99";"W99";"Exposure to other man-made environmental factors";"W99 Exposure to other man-made environmental factors"
"X00";"X00";"Exposure to uncontrolled fire in building or structure";"X00 Exposure to uncontrolled fire in building or structure"
"X01";"X01";"Exposure to uncontrolled fire, not in building or structure";"X01 Exposure to uncontrolled fire, not in building or structure"
"X02";"X02";"Exposure to controlled fire in building or structure";"X02 Exposure to controlled fire in building or structure"
"X03";"X03";"Exposure to controlled fire, not in building or structure";"X03 Exposure to controlled fire, not in building or structure"
"X04";"X04";"Exposure to ignition of highly flammable material";"X04 Exposure to ignition of highly flammable material"
"X05";"X05";"Exposure to ignition or melting of nightwear";"X05 Exposure to ignition or melting of nightwear"
"X06";"X06";"Exposure to ignition or melting of oth clothing and apparel";"X06 Exposure to ignition or melting of oth clothing and apparel"
"X08";"X08";"Exposure to other specified smoke, fire and flames";"X08 Exposure to other specified smoke, fire and flames"
"X10";"X10";"Contact with hot drinks, food, fats and cooking oils";"X10 Contact with hot drinks, food, fats and cooking oils"
"X11";"X11";"Contact with hot tap-water";"X11 Contact with hot tap-water"
"X12";"X12";"Contact with other hot fluids";"X12 Contact with other hot fluids"
"X13";"X13";"Contact with steam and other hot vapors";"X13 Contact with steam and other hot vapors"
"X14";"X14";"Contact with hot air and other hot gases";"X14 Contact with hot air and other hot gases"
"X15";"X15";"Contact with hot household appliances";"X15 Contact with hot household appliances"
"X16";"X16";"Contact with hot heating appliances, radiators and pipes";"X16 Contact with hot heating appliances, radiators and pipes"
"X17";"X17";"Contact with hot engines, machinery and tools";"X17 Contact with hot engines, machinery and tools"
"X18";"X18";"Contact with other hot metals";"X18 Contact with other hot metals"
"X19";"X19";"Contact with other heat and hot substances";"X19 Contact with other heat and hot substances"
"X30";"X30";"Exposure to excessive natural heat";"X30 Exposure to excessive natural heat"
"X31";"X31";"Exposure to excessive natural cold";"X31 Exposure to excessive natural cold"
"X32";"X32";"Exposure to sunlight";"X32 Exposure to sunlight"
"X34";"X34";"Earthquake";"X34 Earthquake"
"X35";"X35";"Volcanic eruption";"X35 Volcanic eruption"
"X36";"X36";"Avalanche, landslide and other earth movements";"X36 Avalanche, landslide and other earth movements"
"X37";"X37";"Cataclysmic storm";"X37 Cataclysmic storm"
"X38";"X38";"Flood";"X38 Flood"
"X39";"X39";"Exposure to other forces of nature";"X39 Exposure to other forces of nature"
"X50";"X50";"Overexertion and strenuous or repetitive movements";"X50 Overexertion and strenuous or repetitive movements"
"X52";"X52";"Prolonged stay in weightless environment";"X52 Prolonged stay in weightless environment"
"X58";"X58";"Exposure to other specified factors";"X58 Exposure to other specified factors"
"X71";"X71";"Intentional self-harm by drowning and submersion";"X71 Intentional self-harm by drowning and submersion"
"X72";"X72";"Intentional self-harm by handgun discharge";"X72 Intentional self-harm by handgun discharge"
"X73";"X73";"Self-harm by rifle, shotgun and larger firearm discharge";"X73 Self-harm by rifle, shotgun and larger firearm discharge"
"X74";"X74";"Self-harm by oth and unsp firearm and gun discharge";"X74 Self-harm by oth and unsp firearm and gun discharge"
"X75";"X75";"Intentional self-harm by explosive material";"X75 Intentional self-harm by explosive material"
"X76";"X76";"Intentional self-harm by smoke, fire and flames";"X76 Intentional self-harm by smoke, fire and flames"
"X77";"X77";"Intentional self-harm by steam, hot vapors and hot objects";"X77 Intentional self-harm by steam, hot vapors and hot objects"
"X78";"X78";"Intentional self-harm by sharp object";"X78 Intentional self-harm by sharp object"
"X79";"X79";"Intentional self-harm by blunt object";"X79 Intentional self-harm by blunt object"
"X80";"X80";"Intentional self-harm by jumping from a high place";"X80 Intentional self-harm by jumping from a high place"
"X81";"X81";"Self-harm by jumping or lying in front of moving object";"X81 Self-harm by jumping or lying in front of moving object"
"X82";"X82";"Intentional self-harm by crashing of motor vehicle";"X82 Intentional self-harm by crashing of motor vehicle"
"X83";"X83";"Intentional self-harm by other specified means";"X83 Intentional self-harm by other specified means"
"X92";"X92";"Assault by drowning and submersion";"X92 Assault by drowning and submersion"
"X93";"X93";"Assault by handgun discharge";"X93 Assault by handgun discharge"
"X94";"X94";"Assault by rifle, shotgun and larger firearm discharge";"X94 Assault by rifle, shotgun and larger firearm discharge"
"X95";"X95";"Assault by other and unspecified firearm and gun discharge";"X95 Assault by other and unspecified firearm and gun discharge"
"X96";"X96";"Assault by explosive material";"X96 Assault by explosive material"
"X97";"X97";"Assault by smoke, fire and flames";"X97 Assault by smoke, fire and flames"
"X98";"X98";"Assault by steam, hot vapors and hot objects";"X98 Assault by steam, hot vapors and hot objects"
"X99";"X99";"Assault by sharp object";"X99 Assault by sharp object"
"Y00";"Y00";"Assault by blunt object";"Y00 Assault by blunt object"
"Y01";"Y01";"Assault by pushing from high place";"Y01 Assault by pushing from high place"
"Y02";"Y02";"Assault by push/place victim in front of moving object";"Y02 Assault by push/place victim in front of moving object"
"Y03";"Y03";"Assault by crashing of motor vehicle";"Y03 Assault by crashing of motor vehicle"
"Y04";"Y04";"Assault by bodily force";"Y04 Assault by bodily force"
"Y07";"Y07";"Perpetrator of assault, maltreatment and neglect";"Y07 Perpetrator of assault, maltreatment and neglect"
"Y08";"Y08";"Assault by other specified means";"Y08 Assault by other specified means"
"Y09";"Y09";"Assault by unspecified means";"Y09 Assault by unspecified means"
"Y21";"Y21";"Drowning and submersion, undetermined intent";"Y21 Drowning and submersion, undetermined intent"
"Y22";"Y22";"Handgun discharge, undetermined intent";"Y22 Handgun discharge, undetermined intent"
"Y23";"Y23";"Rifle, shotgun and larger firearm discharge, undet intent";"Y23 Rifle, shotgun and larger firearm discharge, undet intent"
"Y24";"Y24";"Other and unspecified firearm discharge, undetermined intent";"Y24 Other and unspecified firearm discharge, undetermined intent"
"Y25";"Y25";"Contact with explosive material, undetermined intent";"Y25 Contact with explosive material, undetermined intent"
"Y26";"Y26";"Exposure to smoke, fire and flames, undetermined intent";"Y26 Exposure to smoke, fire and flames, undetermined intent"
"Y27";"Y27";"Contact w steam, hot vapors and hot objects, undet intent";"Y27 Contact w steam, hot vapors and hot objects, undet intent"
"Y28";"Y28";"Contact with sharp object, undetermined intent";"Y28 Contact with sharp object, undetermined intent"
"Y29";"Y29";"Contact with blunt object, undetermined intent";"Y29 Contact with blunt object, undetermined intent"
"Y30";"Y30";"Falling, jumping or pushed from a high place, undet intent";"Y30 Falling, jumping or pushed from a high place, undet intent"
"Y31";"Y31";"Fall/lying/running bef/into moving object, undet intent";"Y31 Fall/lying/running bef/into moving object, undet intent"
